num_sylls,combo_no,syll_no,note_vals,add_length,bar_start,bar_end
6,6-543,3,0.5,"","",""
6,6-543,4,1.5,..,"",|
6,6-543,5,0.5,"","",""
6,6-543,6,1.5,..,"",|
6,6-545,1,1,.,|#,""
6,6-545,2,1,.,"",|
6,6-545,3,0.5,"","",""
6,6-545,4,1.5,..,"",|
6,6-545,5,0.5,"","",""
6,6-545,6,1.5,..,"",|
6,6-547,1,0.5,"",|#,""
6,6-547,2,1.5,..,"",|
6,6-547,3,0.5,"","",""
6,6-547,4,1.5,..,"",|
6,6-547,5,0.5,"","",""
6,6-547,6,1.5,..,"",|
7,7-2,1,1,.,|#,""
7,7-2,2,0.5,"","",""
7,7-2,3,0.5,"","",|
7,7-2,4,0.5,"","",""
7,7-2,5,0.5,"","",""
7,7-2,6,0.5,"","",""
7,7-2,7,0.5,"","",|
7,7-4,1,0.5,"",|#,""
7,7-4,2,1,.,"",""
7,7-4,3,0.5,"","",|
7,7-4,4,0.5,"","",""
7,7-4,5,0.5,"","",""
7,7-4,6,0.5,"","",""
7,7-4,7,0.5,"","",|
7,7-10,1,0.5,"",|#,""
7,7-10,2,0.5,"","",""
7,7-10,3,1,.,"",|
7,7-10,4,0.5,"","",""
7,7-10,5,0.5,"","",""
7,7-10,6,0.5,"","",""
7,7-10,7,0.5,"","",|
7,7-82,1,0.5,"",|#,""
7,7-82,2,0.5,"","",""
7,7-82,3,0.5,"","",""
7,7-82,4,0.5,"","",|
7,7-82,5,1,.,"",""
7,7-82,6,0.5,"","",""
7,7-82,7,0.5,"","",|
7,7-102,1,1.5,..,|#,""
7,7-102,2,0.5,"","",|
7,7-102,3,1.5,..,"",""
7,7-102,4,0.5,"","",|
7,7-102,5,1,.,"",""
7,7-102,6,0.5,"","",""
7,7-102,7,0.5,"","",|
7,7-104,1,1,.,|#,""
7,7-104,2,1,.,"",|
7,7-104,3,1.5,..,"",""
7,7-104,4,0.5,"","",|
7,7-104,5,1,.,"",""
7,7-104,6,0.5,"","",""
7,7-104,7,0.5,"","",|
7,7-106,1,0.5,"",|#,""
7,7-106,2,1.5,..,"",|
7,7-106,3,1.5,..,"",""
7,7-106,4,0.5,"","",|
7,7-106,5,1,.,"",""
7,7-106,6,0.5,"","",""
7,7-106,7,0.5,"","",|
7,7-120,1,1.5,..,|#,""
7,7-120,2,0.5,"","",|
7,7-120,3,1,.,"",""
7,7-120,4,1,.,"",|
7,7-120,5,1,.,"",""
7,7-120,6,0.5,"","",""
7,7-120,7,0.5,"","",|
7,7-122,1,1,.,|#,""
7,7-122,2,1,.,"",|
7,7-122,3,1,.,"",""
7,7-122,4,1,.,"",|
7,7-122,5,1,.,"",""
7,7-122,6,0.5,"","",""
7,7-122,7,0.5,"","",|
7,7-124,1,0.5,"",|#,""
7,7-124,2,1.5,..,"",|
7,7-124,3,1,.,"",""
7,7-124,4,1,.,"",|
7,7-124,5,1,.,"",""
7,7-124,6,0.5,"","",""
7,7-124,7,0.5,"","",|
7,7-138,1,1.5,..,|#,""
7,7-138,2,0.5,"","",|
7,7-138,3,0.5,"","",""
7,7-138,4,1.5,..,"",|
7,7-138,5,1,.,"",""
7,7-138,6,0.5,"","",""
7,7-138,7,0.5,"","",|
7,7-140,1,1,.,|#,""
7,7-140,2,1,.,"",|
7,7-140,3,0.5,"","",""
7,7-140,4,1.5,..,"",|
7,7-140,5,1,.,"",""
7,7-140,6,0.5,"","",""
7,7-140,7,0.5,"","",|
7,7-142,1,0.5,"",|#,""
7,7-142,2,1.5,..,"",|
7,7-142,3,0.5,"","",""
7,7-142,4,1.5,..,"",|
7,7-142,5,1,.,"",""
7,7-142,6,0.5,"","",""
7,7-142,7,0.5,"","",|
7,7-244,1,0.5,"",|#,""
7,7-244,2,0.5,"","",""
7,7-244,3,0.5,"","",""
7,7-244,4,0.5,"","",|
7,7-244,5,0.5,"","",""
7,7-244,6,1,.,"",""
7,7-244,7,0.5,"","",|
7,7-264,1,1.5,..,|#,""
7,7-264,2,0.5,"","",|
7,7-264,3,1.5,..,"",""
7,7-264,4,0.5,"","",|
7,7-264,5,0.5,"","",""
7,7-264,6,1,.,"",""
7,7-264,7,0.5,"","",|
7,7-266,1,1,.,|#,""
7,7-266,2,1,.,"",|
7,7-266,3,1.5,..,"",""
7,7-266,4,0.5,"","",|
7,7-266,5,0.5,"","",""
7,7-266,6,1,.,"",""
7,7-266,7,0.5,"","",|
7,7-268,1,0.5,"",|#,""
7,7-268,2,1.5,..,"",|
7,7-268,3,1.5,..,"",""
7,7-268,4,0.5,"","",|
7,7-268,5,0.5,"","",""
7,7-268,6,1,.,"",""
7,7-268,7,0.5,"","",|
7,7-282,1,1.5,..,|#,""
7,7-282,2,0.5,"","",|
7,7-282,3,1,.,"",""
7,7-282,4,1,.,"",|
7,7-282,5,0.5,"","",""
7,7-282,6,1,.,"",""
7,7-282,7,0.5,"","",|
7,7-284,1,1,.,|#,""
7,7-284,2,1,.,"",|
